Num_NIL,NIL,Municipio,prezzo_mq
17,Adriano,2,€ 2.800 /m²
80,Affori,9,€ 2.350 /m²
87,Assiano,7,€ 2.400 /m²
55,Baggio - Q.re degli Olmi - Q.re Valsesia,7,€ 2.400 /m²
52,Bande Nere,6,€ 3.857 /m²
46,Barona,6,€ 3.250 /m²
15,Bicocca,9,€ 2.950 /m²
77,Bovisa,9,€ 2.550 /m²
81,Bovisasca,9,€ 2.000 /m²
2,Brera,1,€ 7.600 /m²
83,Bruzzano,9,€ 2.150 /m²
21,Buenos Aires - Porta Venezia - Porta Monforte,3,€ 6.650 /m²
47,Cantalupa,6,€ 3.717 /m²
34,Chiaravalle,5,€ 2.700 /m²
18,Cimiano - Rottole - Q.re Feltre,3,€ 2.780 /m²
22,Cittˆ studi,3,€ 4.450 /m²
82,Comasina,9,€ 1.750 /m²
25,Corsica,4,€ 4.747 /m²
58,De Angeli-Monte Rosa,7,€ 5.986 /m²
79,Dergano,9,€ 2.750 /m²
1,Duomo,1,€ 7.100 /m²
78,Farini,9,€ 5.652 /m²
63,Figino,7,€ 2.000 /m²
56,Forze Armate,7,€ 2.700 /m²
70,Ghisolfa,8,€ 5.652 /m²
49,Giambellino,6,€ 3.717 /m²
3,Giardini Porta Venezia,1,€ 6.650 /m²
16,Gorla - Precotto,2,€ 2.800 /m²
41,Gratosoglio - Q.re Missaglia - Q.re Terrazze,5,€ 2.250 /m²
4,Guastalla,1,€ 7.300 /m²
11,Isola,9,€ 5.550 /m²
23,Lambrate - Ortica,3,€ 3.550 /m²
35,Lodi-Corvetto,4,€ 4.200 /m²
53,Lorenteggio,6,€ 3.100 /m²
7,Magenta- San Vittore,1,€ 5.325 /m²
72,Maggiore - Musocco - Certosa,8,€ 3.079 /m²
73,MIND - Cascina Triulza,8,€ 3.079 /m²
45,Moncucco - San Cristoforo,6,€ 1.325 /m²
31,Monlu - Ponte Lambro,4,€ 2.478 /m²
37,Morivione,5,€ 3.595 /m²
54,Muggiano,7,€ 2.200 /m²
14,Niguarda - CaÕ Granda - Prato Centenaro - Q.re Fulvio Testi,9,€ 2.550 /m²
29,Ortomercato,4,€ 4.005 /m²
19,Padova - Turro - Crescenzago,2,€ 2.900 /m²
68,Pagano,8,€ 8.325 /m²
88,Parco Bosco in cittˆ,7,€ 3.265 /m²
86,Parco dei Navigli,6,€ 1.800 /m²
85,Parco delle Abbazie,5,€ 4.300 /m²
84,Parco Nord,9,€ 6.800 /m²
8,Parco Sempione,1,€ 5.800 /m²
9,Porta Garibaldi - Porta Nuova,9,€ 7.350 /m²
50,Porta Genova,6,€ 6.100 /m²
51,Porta Magenta,7,€ 1.597 /m²
6,Porta Ticinese - Conca del Naviglio,5,€ 6.150 /m²
44,Porta Ticinese - Conchetta,6,€ 6.150 /m²
5,Porta Vigentina - Porta Lodovica,5,€ 6.200 /m²
67,Portello,8,€ 4.300 /m²
65,Q.re Gallaratese - Q.re San Leonardo - Lampugnano,8,€ 2.650 /m²
66,QT8,8,€ 3.800 /m²
61,Quarto Cagnino,7,€ 2.241 /m²
76,Quarto Oggiaro - Vialba - Musocco,8,€ 1.700 /m²
62,Quinto Romano,7,€ 2.250 /m²
39,Quintosole,5,€ 2.910 /m²
33,Rogoredo - Santa Giulia,4,€ 2.550 /m²
40,Ronchetto delle Rane,5,€ 4.350 /m²
48,Ronchetto sul Naviglio - Q.re Lodovico il Moro,6,€ 2.563 /m²
74,Roserio,8,€ 6.950 /m²
57,San Siro,7,€ 3.150 /m²
69,Sarpi,8,€ 5.652 /m²
36,Scalo Romana,5,€ 3.595 /m²
42,Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata,5,€ 3.427 /m²
60,Stadio - Ippodromi,7,€ 3.265 /m²
10,Stazione Centrale - Ponte Seveso,2,€ 4.950 /m²
75,Stephenson,8,€ 3.079 /m²
30,Taliedo - Morsenchio - Q.re Forlanini,4,€ 2.950 /m²
43,Tibaldi,5,€ 2.750 /m
59,Tre Torri,8,€ 5.986 /m²
64,Trenno,8,€ 2.350 /m²
32,Triulzo Superiore,4,€ 2.626 /m²
28,Umbria - Molise - Calvairate,4,€ 3.069 /m²
38,Vigentino - Q.re Fatima,5,€ 3.200 /m²
71,Villapizzone - Cagnola - Boldinasco,8,€ 2.350 /m²
26,XXII Marzo,4,€ 5.500 /m²
